Employee_ID,Attrition_Risk_Score,Attrition
200001,97,Yes
200002,72,Yes
200003,45,No
200004,49,Yes
200005,20,No
200006,77,Yes
200007,74,Yes
200008,70,Yes
200009,41,No
200010,33,No
200011,51,Yes
200012,10,No
200013,64,Yes
200014,31,No
200015,30,No
200016,55,No
200017,46,No
200018,52,No
200019,45,Yes
200020,41,No
200021,74,Yes
200022,48,No
200023,56,Yes
200024,60,No
200025,35,No
200026,22,No
200027,59,Yes
200028,35,No
200029,45,No
200030,28,No
200031,21,No
200032,64,Yes
200033,47,No
200034,20,No
200035,21,No
200036,56,No
200037,17,No
200038,45,Yes
200039,66,No
200040,53,No
200041,67,No
200042,42,No
200043,17,No
200044,43,No
200045,42,No
200046,71,Yes
200047,32,No
200048,35,No
200049,43,Yes
200050,51,No
200051,57,Yes
200052,48,No
200053,65,Yes
200054,48,No
200055,49,Yes
200056,62,No
200057,55,No
200058,65,Yes
200059,20,No
200060,28,No
200061,50,Yes
200062,11,No
200063,65,No
200064,55,Yes
200065,36,No
200066,72,Yes
200067,46,No
200068,41,Yes
200069,45,No
200070,90,Yes
200071,44,No
200072,100,Yes
200073,29,No
200074,38,Yes
200075,57,No
200076,48,No
200077,25,No
200078,38,No
200079,58,No
200080,100,Yes
200081,47,Yes
200082,68,Yes
200083,60,No
200084,40,No
200085,52,No
200086,27,No
200087,88,Yes
200088,56,Yes
200089,45,No
200090,68,Yes
200091,62,No
200092,49,No
200093,46,No
200094,45,No
200095,31,No
200096,2,No
200097,56,Yes
200098,46,No
200099,33,No
200100,57,Yes
200101,60,Yes
200102,38,No
200103,44,Yes
200104,76,Yes
200105,40,Yes
200106,42,No
200107,30,No
200108,42,No
200109,30,No
200110,64,No
200111,56,No
200112,37,No
200113,57,Yes
200114,60,No
200115,29,No
200116,40,No
200117,97,Yes
200118,23,No
200119,45,No
200120,43,No
200121,61,Yes
200122,36,No
200123,61,Yes
200124,7,No
200125,31,No
200126,38,No
200127,3,No
200128,51,No
200129,40,Yes
200130,53,Yes
200131,40,No
200132,31,No
200133,34,No
200134,62,Yes
200135,33,No
200136,24,No
200137,35,No
200138,14,No
200139,53,Yes
200140,83,Yes
200141,53,Yes
200142,12,No
200143,85,Yes
200144,67,No
200145,35,No
200146,28,No
200147,57,No
200148,24,No
200149,27,No
200150,42,No
200151,22,No
200152,67,Yes
200153,32,No
200154,58,No
200155,29,Yes
200156,54,No
200157,58,No
200158,59,Yes
200159,59,Yes
200160,58,No
200161,69,No
200162,52,No
200163,36,No
200164,23,No
200165,56,No
200166,32,No
200167,43,No
200168,47,Yes
200169,27,No
200170,59,Yes
200171,51,No
200172,16,No
200173,29,No
200174,34,No
200175,33,No
200176,87,Yes
200177,47,No
200178,60,Yes
200179,37,No
200180,71,Yes
200181,46,No
200182,19,No
200183,26,No
200184,28,No
200185,31,No
200186,63,No
200187,43,No
200188,66,Yes
200189,35,No
200190,26,No
200191,95,Yes
200192,40,No
200193,27,No
200194,34,No
200195,72,Yes
200196,72,Yes
200197,96,Yes
200198,59,No
200199,59,Yes
200200,85,Yes
200201,61,Yes
200202,0,No
200203,45,Yes
200204,39,No
200205,31,No
200206,35,No
200207,24,No
200208,50,No
200209,46,No
200210,62,Yes
200211,22,No
200212,57,Yes
200213,38,No
200214,39,No
200215,21,No
