Age,Education_Level,Years_At_Company,Years_In_Current_Role,Monthly_Income,Salary_Hike_Percent,Job_Level,Performance_Rating,Job_Satisfaction,Work_Life_Balance,Environment_Satisfaction,Relationship_Satisfaction,Training_Hours_Last_Year,Overtime,Remote_Work,Distance_From_Home,Commute_Time_Minutes,Number_Of_Projects,Team_Size,Manager_Rating,Absence_Days,Promotion_Last_5_Years,Stock_Option,Tenure_Stability_Ratio,Income_per_JobLevel,Satisfaction_Composite,Commute_Burden,Promotion_Stagnation_Flag,High_Overtime_Low_WLB,Gender_Male,Marital_Status_Married,Marital_Status_Single,Department_HR,Department_IT,Department_Marketing,Department_Operations,Department_Sales,Job_Role_Accountant,Job_Role_Auditor,Job_Role_Business Development,Job_Role_Content Strategist,Job_Role_Data Analyst,Job_Role_Finance Manager,Job_Role_Financial Analyst,Job_Role_HR Executive,Job_Role_HR Manager,Job_Role_IT Manager,Job_Role_Logistics Coordinator,Job_Role_Marketing Executive,Job_Role_Marketing Manager,Job_Role_Operations Executive,Job_Role_Operations Manager,Job_Role_Quality Analyst,Job_Role_Recruiter,Job_Role_SEO Specialist,Job_Role_Sales Executive,Job_Role_Sales Manager,Job_Role_Software Engineer,Job_Role_System Administrator,Job_Role_Training Specialist,Employment_Type_Full-Time,Employment_Type_Part-Time,Business_Travel_Never,Business_Travel_Rarely,Attrition
27,2,4,4,11908,21.2,2,5,3,4,3,3,51,0,0,25,63,2,14,3,4,0,0,0.8,5954.0,3.25,31.3,1,0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,0
45,1,17,9,12459,19.7,4,3,4,3,5,3,30,1,0,43,150,3,8,3,11,0,1,0.5,3114.75,3.75,58.0,1,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0
28,2,6,0,12508,10.5,3,1,1,4,4,4,18,1,0,11,48,1,11,3,14,0,1,0.0,4169.333333333333,3.25,15.8,1,0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,0
33,1,6,0,7399,13.5,2,2,2,5,5,3,48,0,0,8,29,4,6,5,4,0,1,0.0,3699.5,3.75,10.9,1,0,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0
37,2,3,3,9554,13.9,2,3,4,3,4,4,34,1,0,20,34,2,7,1,8,0,0,0.75,4777.0,3.75,23.4,0,0,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1
41,1,2,2,6980,17.5,2,3,4,4,1,5,23,0,0,10,22,3,2,3,5,0,0,0.6666666666666666,3490.0,3.5,12.2,0,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,0
29,1,1,1,9480,14.9,2,4,2,4,5,3,70,1,1,30,103,3,6,2,6,0,1,0.5,4740.0,3.5,40.3,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
35,1,10,2,8579,10.4,2,4,2,3,3,2,36,1,0,20,49,2,6,2,7,0,0,0.18181818181818182,4289.5,2.5,24.9,1,0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1
42,1,4,4,6751,13.9,2,2,4,2,4,3,41,0,0,23,76,9,6,3,3,0,0,0.8,3375.5,3.25,30.6,1,0,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,1
47,3,6,2,12393,11.1,3,4,2,3,5,5,53,1,1,21,72,4,2,3,7,0,1,0.2857142857142857,4131.0,3.75,28.2,1,0,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,0
37,2,11,1,11091,14.5,4,4,3,3,4,3,3,0,1,4,14,2,2,3,2,1,1,0.08333333333333333,2772.75,3.25,5.4,0,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0
39,2,11,6,15450,16.7,4,3,4,4,3,3,30,0,0,5,20,3,10,2,3,0,1,0.5,3862.5,3.5,7.0,1,0,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0
35,2,12,2,14194,11.1,4,3,5,3,4,3,41,0,1,40,129,5,13,3,5,0,1,0.15384615384615385,3548.5,3.75,52.9,1,0,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0
39,2,12,6,14517,14.7,4,3,1,4,3,4,28,0,0,55,150,4,11,4,2,0,1,0.46153846153846156,3629.25,3.0,70.0,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0
34,0,12,11,7145,17.8,3,3,2,3,5,2,76,0,0,10,40,5,10,5,8,0,1,0.8461538461538461,2381.6666666666665,3.0,14.0,1,0,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,0
